id,nom
1066,James Cameron
49984,Amanda Silver
49985,Rick Jaffa
77617,Josh Friedman
44117,Shane Salerno
41339,Sam Worthington
34515,Zoe Saldana
259,Sigourney Weaver
6407,Stephen Lang
12973,Kate Winslet
22533,Cliff Curtis
130952,Joel David Moore
175724,CCH Pounder
142452,Martin McDonagh
41623,Colin Farrell
21353,Brendan Gleeson
101150,Kerry Condon
646346,Barry Keoghan
60312,Gary Lydon
178500,David Pearse
38974,Pat Shortt
479682,Sheila Flitton
16478,Christian Duguay
267165,Lilou Fogli
923099,Christophe Donner
18273,Mélanie Laurent
194479,Pio Marmaï
465360,Kacey Mottet Klein
895145,Carmen Kassovitz
847791,Atmen Khelif
482078,Hugo Becker
838921,Charlie Paulet
930082,June Benard
692670,Gerard Johnstone
575327,Akela Cooper
97569,James Wan
502680,Allison Williams
844314,Violet McGraw
794353,Ronny Chieng
982500,Amie Donald
706996,Brian Jordan Alvarez
679615,Jen Van Epps
758819,Stephane Garneau-Monten
190867,Lori Dungey
507431,Olivier Treiner
923535,Camille Treiner
415513,Lou de Laâge
67071,Raphaël Personnaz
17614,Isabelle Carré
167254,Grégory Gadebois
136213,Esther Garrel
416482,Sébastien Pouderoux
2078,Denis Podalydès
402130,Aliocha Schneider
42864,Mathieu Vadepied
596841,Olivier Demangel
87127,Omar Sy
793386,Alassane Diong
201629,Jonas Bloquet
942006,Bamar Kane
731616,Alassane Sy
982869,Aminata Wone
942007,Clément Lankoulo Thomas Sambou
942008,Oumar Sey
60617,Michelle Rodriguez
28985,Giovanni Ribisi
95559,Rian Johnson
27049,Daniel Craig
21625,Edward Norton
669177,Janelle Monáe
86647,Kathryn Hahn
117065,Leslie Odom Jr.
38957,Kate Hudson
178123,Dave Bautista
695311,Jessica Henwick
433291,Nicolas Pariser
2083,Sandrine Kiberlain
226163,Vincent Lacoste
247,Rüdiger Vogler
249549,Léonie Simaga
617041,Arieh Worthalter
422933,Jenna Thiam
16047,Alexandre Steiger
939008,Lucie Gallo
937353,Januel P. Mercado
521282,Joel Crawford
498671,Paul Fisher (II)
43191,Christopher Meledandri
11006,Tommy Swerdlow
139147,Tom Wheeler
6226,Antonio Banderas
8758,Salma Hayek
452021,Harvey Guillen
90310,Wagner Moura
705743,Florence Pugh
144248,Olivia Colman
14588,Ray Winstone
98394,Michele Placido
23373,Sandro Petraglia
424815,Fidel Signorile
90823,Riccardo Scamarcio
11738,Louis Garrel
947,Isabelle Huppert
32040,Lolita Chammah
428856,Micaela Ramazzotti
915585,Tedua
266037,Vinicio Marchioni
81809,Eric Lartigau
2164,Delphine Gleize
874681,Mariko Tamaki
944095,Jillian Tamaki
963750,Rose Pou Pellicer
963751,Juliette Havelange
38766,Marina Foïs
34249,Gael García Bernal
15881,Chiara Mastroianni
4124,Ángela Molina
780713,Adèle Wismes
546167,Hugo Fernandes
520642,Julien Chheng
94969,Jean-Christophe Roger (II)
402838,Guillaume Mautalent
614762,Gabrielle Vincent
689898,Agnès Bidaud
402837,Sébastien Oursel
57784,Didier Brunner
