movie_id,realisateurs,scenaristes,acteurs
178014,['1066'],"['49984', '1066', '1066', '49985', '49984', '49985', '77617', '44117']","['41339', '34515', '259', '6407', '12973', '22533', '130952', '175724']"
281293,['142452'],['142452'],"['41623', '21353', '101150', '646346', '60312', '178500', '38974', '479682']"
289305,['16478'],"['267165', '923099', '267165', '267165', '16478', '16478', '16478']","['18273', '194479', '465360', '895145', '847791', '482078', '838921', '930082']"
266320,['692670'],"['575327', '575327', '97569']","['502680', '844314', '794353', '982500', '706996', '679615', '758819', '190867']"
288544,['507431'],"['507431', '923535']","['415513', '67071', '17614', '167254', '136213', '416482', '2078', '402130']"
289236,['42864'],"['596841', '42864']","['87127', '793386', '201629', '942006', '731616', '982869', '942007', '942008']"
61282,['1066'],['1066'],"['41339', '34515', '259', '6407', '60617', '28985', '130952', '175724']"
280185,['95559'],['95559'],"['27049', '21625', '669177', '86647', '117065', '38957', '178123', '695311']"
288261,['433291'],['433291'],"['2083', '226163', '247', '249549', '617041', '422933', '16047', '939008']"
228395,"['937353', '521282']","['498671', '43191', '11006', '139147']","['6226', '8758', '452021', '90310', '705743', '90310', '144248', '14588']"
286774,['98394'],"['98394', '23373', '424815']","['90823', '11738', '947', '32040', '98394', '428856', '915585', '266037']"
292286,['81809'],"['2164', '2164', '2164', '874681', '81809', '81809', '81809', '944095']","['963750', '963751', '38766', '34249', '15881', '4124', '780713', '546167']"
293756,"['520642', '94969']","['402838', '614762', '689898', '402837', '57784', '263682']","['1004', '407727', '553378', '421641', '576658', '207259', '131378', '140014']"
287166,['454751'],"['82438', '72']","['6351', '862202', '810673', '24888', '145610', '127442', '251089', '102328']"
294000,['937169'],"['937169', '937169', '937169', '611895', '611895']","['411420', '21610', '601648', '444', '10901', '798183', '503058', '884126']"
289303,['775767'],"['775767', '766568']","['40179', '836753', '633778', '792562', '792561', '978898', '978899']"
290592,"['418450', '261421']","['926620', '418450', '261421']","['461259', '594311', '178584', '738036', '965265', '965266', '981955', '965267']"
303339,['16796'],"['16796', '163907', '726009']","['28589', '172747', '495098', '255057', '102626', '880783', '195637', '959903']"
294450,['139056'],['139056'],"['229397', '168026', '11488', '548917', '135982', '625616', '945246', '856661']"
288665,['816743'],['816743'],"['739215', '929897', '552841', '221847', '874015', '247786', '965479']"
282299,['29705'],['254295'],"['773061', '15495', '8094', '726088', '108291', '649328', '915931', '689608']"
287672,"['148018', '95317']","['148018', '148018', '920367', '404477', '148018', '404477', '404477', '982639']","['14083', '18572', '127936', '722', '2890', '1327', '99901', '35039']"
286075,['30076'],['30076'],"['68739', '435527', '92536', '463092', '821426', '929809', '522680', '465134']"
283471,['6527'],"['727011', '912077', '169500', '149504']","['16472', '906202', '6527', '269118', '14526', '980366', '980367', '731844']"
303688,['962346'],['962346'],"['962439', '965476', '787815', '618724']"
285618,['266080'],"['266080', '600714', '256489']","['802021', '9807', '674650', '952142', '952143', '505384', '189045', '956826']"
271676,['71931'],"['865415', '865414']","['15280', '714777', '79356', '425221', '32323', '58129', '37561', '46291']"
285887,['17724'],['17724'],"['917141', '751381', '17612', '474959', '95308', '5323', '615205', '572834']"
264704,['841194'],"['841194', '889967']","['178367', '728751', '709608', '69927', '784273', '660990', '934037', '649421']"
267546,['95559'],['95559'],"['27049', '81795', '246148', '36517', '61755', '12206', '17446', '644408']"
294311,['207964'],"['21750', '207964', '21750', '21750', '203383']","['421288', '21750', '4636', '16749', '237584', '983685', '980052', '243947']"
287317,['502381'],['502381'],"['450063', '215892', '432137', '647934', '411422', '213372', '188592', '860630']"
291285,['38858'],"['38858', '182091', '793805', '889967']","['3126', '327', '1116', '196381', '21610', '800141', '4966', '98747']"
263242,['571659'],"['59857', '571659', '92070', '145010']","['548169', '10558', '217908', '413585', '582633', '716290', '862015', '708163']"
251352,"['168213', '168212']","['432937', '938741']","['16228', '215148', '103817', '859920', '443959', '121438', '873404', '64730']"
271339,['20836'],"['20836', '20836']","['1185', '185938', '8571', '185170', '21316', '273203', '18641', '15344']"
285270,['588841'],"['588841', '715334', '934028']","['934030', '841961', '934031', '656189', '877564', '835678', '872074', '934032']"
286631,['412199'],"['500905', '804762', '412199']","['192773', '72763', '585815', '258124', '434934', '539466', '509546', '539460']"
290724,['111832'],"['927164', '111832']","['8471', '67770', '27198', '859646', '186037', '374', '83894', '3125']"
285418,['692783'],['692783'],"['804885', '793639', '702092', '680642', '831203', '979637', '196372', '677840']"
291948,['198700'],"['35572', '198700', '904975', '224651', '502427']","['772401', '930668', '11738', '6099', '3153', '411812', '6920', '792743']"
300245,['541931'],"['541931', '982164']","['841045', '954781', '954783', '911770', '954782', '982163', '933921']"
280229,['14395'],"['14395', '21059']","['229397', '156875', '506290', '935353', '640929', '182381', '51528', '519650']"
305613,['1186'],"['1186', '603723']","['1186', '968956', '132709', '968955', '36525', '918449', '979475', '975633']"
281688,['206331'],"['207256', '636462']","['114167', '3198', '146510', '874327', '976509', '765', '451911', '139807']"
286354,['18013'],['18013'],"['17690', '328', '847463', '13425', '237327', '18013', '974025', '226483']"
186636,['193401'],"['52719', '38799', '52720', '60437', '197756']","['1722', '471890', '1395', '105013', '198239', '748956', '109316', '165444']"
283585,"['772887', '772888']","['772887', '772888', '885867']","['962448', '965353', '215132', '962449', '965354', '965356', '840702', '965357']"
296128,['146639'],['146639'],"['91503', '226163', '91434', '222195', '617692', '487827', '160886', '421288']"
287283,['20992'],"['20992', '401379']","['819863', '38766', '96531', '888907', '504230', '979128', '912085', '979129']"
280842,['96188'],"['96188', '52335', '64906', '202049', '44272']","['96188', '97767', '149018', '931544', '838833', '731083', '563682', '917213']"
293243,['935186'],['935186'],"['184867', '692099', '950007', '76624', '511652', '748268', '983694', '983695']"
289606,['41958'],"['41958', '98389']","['502681', '227924', '19157', '575391', '931044', '931045', '763017', '85516']"
263066,"['52273', '873930']","['52273', '873930']","['31683', '4141', '894324', '38465', '32766', '567504', '39404', '841420']"
302106,['776165'],['776165'],"['640095', '231982', '690054', '981022', '573340', '958006', '648501', '784646']"
303680,['428963'],['428963'],"['962598', '962599', '148431', '174955', '93360', '511206', '964402', '982888']"
259759,['68090'],"['36934', '77188']","['472', '87127', '206127', '263708', '26993', '669627', '78190', '23731']"
267302,['8743'],"['8743', '849499', '8743', '239044', '239044']","['87127', '97635', '167254', '504030', '203530', '588899', '45718', '628591']"
297464,['3231'],"['944404', '3231']","['220861', '706237', '67071', '1484', '870055', '828162', '747544', '85460']"
256851,['225785'],['225785'],"['795445', '718512', '4062', '897908', '716322', '55191', '237196', '23482']"
254587,['687760'],['687760'],['18158']
274315,['20173'],['20173'],"['65719', '223649', '817044', '946584', '660', '946585', '113578', '46078']"
277530,['540347'],"['540711', '886866', '540347']","['97635', '17028', '167254', '897858', '24025', '163556', '526902', '25340']"
296813,['182843'],['182843'],"['556803', '641618', '231217', '664814']"
303881,['772369'],['772369'],"['133338', '471258', '898788', '787375']"
207445,"['18940', '412163']","['85040', '18940', '676954', '15627']","['892263', '10774', '17043', '2334', '757208', '28561', '155364', '7542']"
310606,['457267'],"['457267', '507435']","['499997', '638217']"
280670,['407438'],['407438'],"['694001', '69356', '83072', '7263', '93749', '974717', '796573', '754957']"
297304,['39017'],['39017'],"['878741', '1002', '226163', '906884', '953903', '18530', '39017', '144902']"
293272,['227376'],"['846977', '139414', '256363', '227376']","['17246', '798184', '724162', '838134', '912648', '962922', '962925', '146022']"
270743,"['607370', '739533']","['607370', '739533']","['15189', '83117', '36517', '796041', '1905', '698248', '415801', '426544']"
285935,['214497'],"['214497', '535444', '173830', '523925']","['214497', '418926', '21610', '2349', '5119', '5686', '22259', '5513']"
287250,['86404'],"['86404', '228328']","['91503', '440094', '29414', '196379', '406955', '203530', '83862', '13560']"
228681,['15718'],"['15718', '142909', '15718', '956283', '60936', '142909']","['214046', '14100', '718570', '72075', '23923', '783931', '17445', '924763']"
281419,['196963'],['196963'],"['610427', '768751', '776645', '899197', '927598', '48328', '68764', '111855']"
290417,['16720'],"['612980', '612980', '612980', '16720', '16720']","['1185', '179676', '148102', '49187', '18641', '269118', '135253', '227766']"
